word,phonetic,pos,translation,definition,collocation,frq
the,,art,这；那,definite article,,95
be,,v,是；存在,to exist,,95
of,,prep,的；属于,belonging to,,95
and,,conj,和；并且,"also, in addition",,94
to,,prep,到；向,toward,,94
in,,prep,在…里,inside,,94
that,,pron,那个,that thing,,93
have,,v,有；拥有,to possess,,93
it,,pron,它,that thing,,93
for,,prep,为了；因为,for the purpose of,,92
on,,prep,在…上,on top of,,92
with,,prep,和；用,accompanying,,92
do,,v,做；干,to perform,,91
say,,v,说；讲,to speak,,91
get,,v,得到；获得,to obtain,,91
make,,v,制作；做,to create,,90
go,,v,去；走,to move,,90
know,,v,知道；认识,to be aware of,,90
take,,v,拿；取,to grasp,,89
see,,v,看见；明白,to perceive with eyes,,89
come,,v,来；到达,to arrive,,89
think,,v,想；认为,to have an opinion,,88
look,,v,看；显得,to direct eyes,,88
want,,v,想要；需要,to desire,,88
give,,v,给；提供,to provide,,87
use,,v,使用；利用,to employ,,87
find,,v,找到；发现,to discover,,87
tell,,v,告诉；讲述,to inform,,86
ask,,v,问；请求,to inquire,,86
work,,v,工作；运转,to labor,,86
seem,,v,似乎；好像,to appear,,85
feel,,v,感觉；觉得,to perceive,,85
try,,v,尝试；努力,to attempt,,85
leave,,v,离开；留下,to depart,,84
call,,v,打电话；称呼,to telephone,,84
need,,v,需要；必需,to require,,84
become,,v,变成；成为,to come to be,,83
mean,,v,意味着；打算,to signify,,83
keep,,v,保持；保留,to retain,,83
let,,v,让；允许,to allow,,82
begin,,v,开始,to start,,82
show,,v,显示；表明,to display,,82
hear,,v,听见；听说,to perceive sound,,81
play,,v,玩；演奏,to engage in game,,81
run,,v,跑；经营,to move quickly,,81
move,,v,移动；感动,to change position,,80
live,,v,生活；居住,to reside,,80
believe,,v,相信；认为,to trust,,80
hold,,v,握住；举行,to grasp,,79
bring,,v,带来；引起,to carry to,,79
happen,,v,发生；碰巧,to occur,,79
write,,v,写；写作,to compose text,,78
sit,,v,坐；位于,to be seated,,78
stand,,v,站；忍受,to be upright,,78
lose,,v,失去；输,to misplace,,77
pay,,v,支付；偿还,to give money,,77
meet,,v,遇见；满足,to encounter,,77
include,,v,包括；包含,to contain,,76
continue,,v,继续；延续,to proceed,,76
set,,v,设置；放置,to place,,76
learn,,v,学习；得知,to acquire knowledge,,75
change,,v,改变；更换,to make different,,75
lead,,v,领导；引导,to guide,,75
understand,,v,理解；懂,to comprehend,,74
watch,,v,观看；注视,to observe,,74
follow,,v,跟随；遵循,to come after,,74
stop,,v,停止；阻止,to cease,,73
create,,v,创造；创建,to make new,,73
speak,,v,说话；发言,to talk,,73
read,,v,阅读；朗读,to interpret text,,72
allow,,v,允许；准许,to permit,,72
add,,v,添加；增加,to join,,72
spend,,v,花费；度过,to use money/time,,71
grow,,v,生长；增长,to increase,,71
open,,v,打开；开放,to unclose,,71
walk,,v,走；散步,to move on foot,,70
win,,v,赢；获胜,to be victorious,,70
offer,,v,提供；提出,to present,,70
remember,,v,记得；记住,to recall,,69
love,,v,爱；喜欢,to feel affection,,69
consider,,v,考虑；认为,to think about,,69
appear,,v,出现；显得,to come into view,,68
buy,,v,买；购买,to purchase,,68
wait,,v,等待；等候,to stay in expectation,,68
serve,,v,服务；供应,to provide service,,67
die,,v,死；消亡,to cease living,,67
send,,v,发送；派遣,to dispatch,,67
expect,,v,期望；预期,to anticipate,,66
build,,v,建造；建立,to construct,,66
stay,,v,停留；保持,to remain,,66
fall,,v,落下；下降,to drop,,65
cut,,v,切；削减,to slice,,65
reach,,v,到达；达到,to arrive at,,65
kill,,v,杀死,to cause death,,64
remain,,v,保持；剩余,to stay,,64
suggest,,v,建议；暗示,to propose,,64
raise,,v,提高；举起,to lift up,,63
pass,,v,通过；传递,to go by,,63
sell,,v,卖；出售,to exchange for money,,63
require,,v,需要；要求,to need,,62
report,,v,报告；报道,to give account,,62
decide,,v,决定；断定,to make a decision,,62
pull,,v,拉；拖,to draw toward,,61
return,,v,返回；归还,to come back,,61
explain,,v,解释；说明,to make clear,,61
hope,,v,希望；期望,to desire with expectation,,60
develop,,v,发展；开发,to grow or advance,,60
carry,,v,携带；搬运,to transport,,60
break,,v,打破；折断,to separate into pieces,,59
receive,,v,收到；接受,to get,,59
agree,,v,同意；赞成,to consent,,59
support,,v,支持；支撑,to uphold,,58
produce,,v,生产；产生,to create,,58
eat,,v,吃,to consume food,,58
cover,,v,覆盖；包括,to place over,,57
catch,,v,抓住；赶上,to seize,,57
draw,,v,画；拉,to sketch,,57
choose,,v,选择；挑选,to select,,56
cause,,v,引起；导致,to make happen,,56
point,,v,指向；指出,to indicate,,56
listen,,v,听；倾听,to hear attentively,,55
realize,,v,意识到；实现,to become aware,,55
place,,v,放置；安置,to put,,55
close,,v,关闭；结束,to shut,,54
describe,,v,描述；形容,to give an account,,54
drive,,v,驾驶；驱动,to operate a vehicle,,54
cross,,v,穿过；交叉,to go across,,53
sound,,v,听起来；发声,to make noise,,53
complete,,v,完成；使完整,to finish,,53
increase,,v,增加；增长,to make larger,,52
turn,,v,转动；变成,to rotate,,52
start,,v,开始；启动,to begin,,52
fill,,v,填满；充满,to make full,,51
improve,,v,改善；提高,to make better,,51
check,,v,检查；核对,to verify,,51
mention,,v,提及；说起,to refer to,,50
provide,,v,提供；供给,to supply,,50
wonder,,v,想知道；疑惑,to be curious,,50
share,,v,分享；共享,to divide among,,49
plan,,v,计划；打算,to arrange in advance,,49
contain,,v,包含；容纳,to hold within,,49
reduce,,v,减少；降低,to make smaller,,48
avoid,,v,避免；回避,to keep away from,,48
compare,,v,比较；对比,to examine differences,,48
manage,,v,管理；设法,to control,,47
protect,,v,保护；防护,to keep safe,,47
remove,,v,移除；去掉,to take away,,47
discover,,v,发现；发觉,to find out,,46
establish,,v,建立；确立,to set up,,46
argue,,v,争论；主张,to debate,,46
prevent,,v,防止；预防,to stop from happening,,45
exist,,v,存在；生存,to have being,,45
perform,,v,执行；表演,to carry out,,45
accept,,v,接受；同意,to receive willingly,,44
achieve,,v,实现；取得,to accomplish,,44
claim,,v,声称；索取,to assert,,44
assume,,v,假定；承担,to suppose,,43
apply,,v,申请；应用,to put to use,,43
attack,,v,攻击；抨击,to assault,,43
attempt,,v,尝试；企图,to try,,42
attend,,v,参加；出席,to be present,,42
behave,,v,表现；举止,to act,,42
belong,,v,属于,to be owned by,,41
blame,,v,责备；归咎,to hold responsible,,41
borrow,,v,借入,to take temporarily,,41
bother,,v,打扰；烦扰,to annoy,,40
celebrate,,v,庆祝,to observe a special day,,40
challenge,,v,挑战；质疑,to dispute,,40
collect,,v,收集；采集,to gather,,39
communicate,,v,交流；沟通,to exchange information,,39
compete,,v,竞争；比赛,to contend,,39
complain,,v,抱怨；投诉,to express dissatisfaction,,38
concentrate,,v,集中；专注,to focus attention,,38
confirm,,v,确认；证实,to verify,,38
connect,,v,连接；联系,to join together,,37
consist,,v,组成；在于,to be composed of,,37
contact,,v,联系；接触,to communicate with,,37
contribute,,v,贡献；捐助,to give,,36
control,,v,控制；管理,to direct,,36
convince,,v,说服；使相信,to persuade,,36
count,,v,数；计数,to enumerate,,35
delay,,v,推迟；延误,to postpone,,35
deliver,,v,递送；发表,to carry to destination,,35
demand,,v,要求；需要,to ask forcefully,,34
depend,,v,依赖；取决于,to rely on,,34
design,,v,设计；构思,to create a plan,,34
destroy,,v,破坏；毁灭,to ruin,,33
determine,,v,决定；确定,to decide,,33
distinguish,,v,区分；辨别,to tell apart,,33
